description,blg_type,ward,address,permit_date
"Interior alterations to a 6 storey hotel (Indigo Hotel, Remove escalators and construct an elevator)",Retail,Ward 14,123 METCALFE ST,2015-01-01
Install a new ramp roof (steel) in a 3 level parking garage (Carleton University),Institutional,Ward 17,1125 COLONEL BY DR,2015-01-01
"Exterior and interior alterations for accessibility upgrades to a 1 storey community building (St. Lukes Community Centre, Bethell Fieldhouse)",Institutional,Ward 14,166 FRANK ST,2015-01-01
"Construct a deck and a barrier free ramp, and install a prefabricated fire escape on a residential building (rear yard, Murphy House)",Apartment,Ward 12,110 MARLBOROUGH AVE,2015-01-01
"Interior alterations on the 1st floor of an 8 storey mixed-use building (barrier free washroom and office suite fit-up, unit #107)",Mixed,Ward 14,111 CATHERINE ST,2015-01-01
"Repair the elevator shaft in an 8 storey institutional building (The Ottawa Hospital, Civic)",Institutional,Ward 15,1053 CARLING AVE,2016-01-01
Interior alterations on the 16th floor of a 17 storey office building (washrooms and corridor at elevators),Office,Ward 14,50 O'CONNOR ST,2016-01-01
Install an elevator in a 2 storey office building (War Amps),Office,Ward 16,2827 RIVERSIDE DR,2016-01-01
Replace fire alarm panel and install smoke detectors in elevator lobby on each floor of a 12 storey apartment building - Juliana Apartments,Apartment,Ward 14,100 BRONSON AVE,2016-01-01
Interior alterations to the 1st and 2nd floors of a 2 storey rowhouse dwelling (handrail/guard replacement),Rowhouse,Ward 1,1775 -108 MARSALA CRES,2016-01-01
"Interior alterations in a 2 storey recreational complex (Pinecrest Recreation Complex, Accessibility renovations)",Institutional,Ward 8,2250 TORQUAY AVE,2016-01-01
"Construct a 2 storey addition to a 2 storey office building (elevator), restore the porch (side) and interior alterations on the 1st floor (vestibule)",Office,Ward 1,1811 ST. JOSEPH BLVD,2016-01-01
"Interior alterations to a 1 storey community building (Hawthorne Park Fieldhouse, accessibility renovations)",Institutional,Ward 18,2139 TAWNEY RD,2016-01-01
Construct a wheelchair ramp at the front of a 1 storey church (Immaculate Heart of Mary Parish),Institutional,Ward 18,1758 ALTA VISTA DR,2016-01-01
Interior alterations to upgrade washrooms to barrier free on all floors of a 9 storey institutional building (LOEB Building) and janitor closet upgrade on various levels.,Institutional,Ward 17,1125 COLONEL BY DR,2016-01-01
Exterior alterations to extend the wheelchair ramp on a 1 storey detached dwelling,Institutional,Ward 13,972 BEAUDRY ST,2016-01-01
Repair the elevator shaft on all floors of a 5 storey retail building,Retail,Ward 12,73 RIDEAU ST,2016-01-01
Interior alterations to a 3 storey institutional building - upgrade accessibility in change rooms (Routhier Community Centre),Institutional,Ward 12,172 GUIGUES AVE,2016-01-01
Construct a deck and a barrier-free ramp for a residential group home (rear yard),Institutional,Ward 16,3062 SOUTHMORE DR E,2016-01-01
Exterior alterations to install a barrier free ramp at the rear of a 3 storey hostel,Other,Ward 15,306 IRENE CRES,2016-01-01
Interior alterations on the 10th floor of a 10 storey office building (electrical upgrades for elevator),Office,Ward 14,56 SPARKS ST,2016-01-01
Construct a 1 storey addition (daycare + classrooms) with 2 storey elevator addition and related interior renovations to a 2 storey school (George-Etienne Cartier School),Institutional,Ward 16,880 THORNDALE DR,2016-01-01
"Interior/exterior alterations to a 3 storey apartment building (remove and replace: elevator hoistway, garbage chute and boiler chimney)",Apartment,Ward 8,4 DEERFIELD DR,2016-01-01
Construct an accessibility ramp (front yard),Single,Ward 8,1228 AMESBROOKE DR,2016-01-01
Interior alterations for accessibility upgrades in a 4 storey mixed use building,Office,Ward 12,445 SUSSEX DR,2016-01-01
Interior alterations for accessibility upgrades in a 4 storey mixed use building,Office,Ward 12,449 SUSSEX DR,2016-01-01
Interior alterations for accessibility upgrades in a 4 storey mixed use building,Office,Ward 12,457 SUSSEX DR,2016-01-01
Interior alterations for accessibility upgrades in a 4 storey mixed use building,Office,Ward 12,465 SUSSEX DR,2016-01-01
Construct an addition to install elevator and stairway in a 2 storey commercial building (Unit 9),Commercial,Ward 3,3050 WOODROFFE AVE,2016-01-01
