permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,housingunits,estprojectcost,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,contractorname
BP2020-01334,Completed,2020-02-04T00:00:00.000,2020-07-14T00:00:00.000,2022-03-18T00:00:00.000,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,New,New,New,Clifton House Care Occupancy,METAFOR ARCHITECTURE,0,41464300,907 47 ST SE,FLN,FOREST LAWN,51.04457964067174,-113.9658555363316,2,Titled Parcel;Building,907 47 ST SE;907 47 ST SE,"MULTIPOINT (-113.9658555363316 51.04457964067174,-113.96621077979601 51.04473901501895)","{""type"":""MultiPoint"",""coordinates"":[[-113.9658555,51.0445796],[-113.9662108,51.044739]]}","{'type': 'Point', 'coordinates': [-113.9658555363316, 51.04457964067174]}",
BP2000-05184,Completed,2000-05-18T00:00:00.000,2000-05-19T00:00:00.000,2000-07-12T00:00:00.000,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,Alteration,Improvement,Existing,interior alterations-washroom facelift,,0,1000,1088 OLYMPIC WY SE,BLN,BELTLINE,51.042426267206615,-114.05321720613777,1,Titled Parcel,1088 OLYMPIC WY SE,POINT (-114.05321720613777 51.042426267206615),"{""type"":""Point"",""coordinates"":[-114.0532172,51.0424263]}","{'type': 'Point', 'coordinates': [-114.05321720613777, 51.042426267206615]}",
BP2009-10107,Completed,2009-09-03T00:00:00.000,2009-09-25T00:00:00.000,2010-08-25T00:00:00.000,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Partitioning (Adding Elevator),QUINN YOUNG ARCHITECTS,0,200000,#100 317 7 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04587168209523,-114.06975838412536,11,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building Suite,336 8 AV SW;328 8 AV SW;320 8 AV SW;340 8 AV SW;337 7 AV SW;333 7 AV SW;353 7 AV SW;332 8 AV SW;324 8 AV SW;317 7 AV SW;#100 317 7 AV SW,"MULTIPOINT (-114.06975838412536 51.04587168209523,-114.06928788067185 51.04585861220883,-114.06883477594383 51.04584559311116,-114.07008397626491 51.045880953504955,-114.06942810904839 51.04654563220306,-114.06905869573988 51.0465321327232,-114.06998922941125 51.046554925548925,-114.06957069654634 51.04586293907664,-114.06910730167886 51.045854224252224,-114.06875634045718 51.046481285261045,-114.06875900622991 51.04644203452417)","{""type"":""MultiPoint"",""coordinates"":[[-114.0697584,51.0458717],[-114.0692879,51.0458586],[-114.0688348,51.0458456],[-114.070084,51.045881],[-114.0694281,51.0465456],[-114.0690587,51.0465321],[-114.0699892,51.0465549],[-114.0695707,51.0458629],[-114.0691073,51.0458542],[-114.0687563,51.0464813],[-114.068759,51.046442]]}","{'type': 'Point', 'coordinates': [-114.06975838412536, 51.04587168209523]}",
BP2018-08480,Completed,2018-06-28T00:00:00.000,2018-07-04T00:00:00.000,2019-09-02T00:00:00.000,Commercial / Multi Family Project,Building,3513 - Theatre,Commercial,Non-Residential,Alteration,Improvement,Existing,Southern Alberta Jubilee Auditoria - Orchestra Lift Replacement,DIALOG,0,1920000,1415 14 AV NW,HIL,HILLHURST,51.063603729361574,-114.09224486665391,2,Titled Parcel;Building,1415 14 AV NW;1415 14 AV NW,"MULTIPOINT (-114.09224486665391 51.063603729361574,-114.09258219172186 51.06256431547107)","{""type"":""MultiPoint"",""coordinates"":[[-114.0922449,51.0636037],[-114.0925822,51.0625643]]}","{'type': 'Point', 'coordinates': [-114.09224486665391, 51.063603729361574]}",
BP2019-15401,Completed,2019-11-12T00:00:00.000,2019-11-27T00:00:00.000,2021-06-04T00:00:00.000,Commercial / Multi Family Project,Building,3513 - Theatre,Commercial,Non-Residential,Alteration,Improvement,Existing,SAJA back of house Barrier free upgrades and new frieght elevator.,,0,696925.12,1415 14 AV NW,HIL,HILLHURST,51.063603729361574,-114.09224486665391,2,Titled Parcel;Building,1415 14 AV NW;1415 14 AV NW,"MULTIPOINT (-114.09224486665391 51.063603729361574,-114.09258219172186 51.06256431547107)","{""type"":""MultiPoint"",""coordinates"":[[-114.0922449,51.0636037],[-114.0925822,51.0625643]]}","{'type': 'Point', 'coordinates': [-114.09224486665391, 51.063603729361574]}",PROLOGIC CONSTRUCTION
BP2010-10690,Completed,2010-08-17T00:00:00.000,2010-09-13T00:00:00.000,2011-01-31T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,COMMERCIAL INTERIOR PARTITION (BOARDROOM AND BARRIER FREE SHOWER),KIND PROJECTS,0,65000,#310 318 11 AV SE,BLN,BELTLINE,51.042314263562034,-114.05704882323802,3,Titled Parcel;Building;Building Suite,318 11 AV SE;318 11 AV SE;#310 318 11 AV SE,"MULTIPOINT (-114.05704882323802 51.042314263562034,-114.05704280197843 51.042450685769076,-114.05704280197843 51.042450685769076)","{""type"":""MultiPoint"",""coordinates"":[[-114.0570488,51.0423143],[-114.0570428,51.0424507],[-114.0570428,51.0424507]]}","{'type': 'Point', 'coordinates': [-114.05704882323802, 51.042314263562034]}",KIND PROJECTS
BP2020-14734,Completed,2020-10-09T00:00:00.000,2020-10-30T00:00:00.000,2020-12-21T00:00:00.000,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,Alteration,Improvement,Existing,Construction of Barrier Free washrooms and replacement of an exterior door - Macleod West Home Health Care,BCW ARCHITECTS,0,62000,9309 MACLEOD TR SW,HAY,HAYSBORO,50.97176309095684,-114.07205205598704,3,Titled Parcel;Titled Parcel;Building,9309 MACLEOD TR SW;9287 MACLEOD TR SW;9309 MACLEOD TR SW,"MULTIPOINT (-114.07205205598704 50.97176309095684,-114.07206186880313 50.97247328280578,-114.0724801544203 50.97190708619883)","{""type"":""MultiPoint"",""coordinates"":[[-114.0720521,50.9717631],[-114.0720619,50.9724733],[-114.0724802,50.9719071]]}","{'type': 'Point', 'coordinates': [-114.07205205598704, 50.97176309095684]}",ELAN CONSTRUCTION
BP2022-01693,Completed,2022-02-03T00:00:00.000,2022-03-22T00:00:00.000,2022-10-28T00:00:00.000,Commercial / Multi Family Project,Building,2303 - Bridge (+15),Industrial,Non-Residential,Alteration,Improvement,Existing,Accessibility upgrades,GEC ARCHITECTURE,0,1000,#15+ 510 5 ST SW,UND,Undefined,51.048219325152324,-114.07368178146385,1,Structure,#15+ 510 5 ST SW,POINT (-114.07368178146385 51.048219325152324),"{""type"":""Point"",""coordinates"":[-114.0736818,51.0482193]}","{'type': 'Point', 'coordinates': [-114.07368178146385, 51.048219325152324]}",
BP2022-03087,File Closed,2022-03-01T00:00:00.000,2022-03-20T00:00:00.000,2023-05-18T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,"Interior alterations - Demising walls, Washrooms and Elevator Lobby",SHEARER LICENSED INTERIOR DESIGN,0,180000,#1700 255 5 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04837169936981,-114.06700773970654,3,Titled Parcel;Building;Building Suite,255 5 AV SW;255 5 AV SW;#1700 255 5 AV SW,"MULTIPOINT (-114.06700773970654 51.04837169936981,-114.06695609526199 51.04819179954317,-114.06695609526199 51.04819179954317)","{""type"":""MultiPoint"",""coordinates"":[[-114.0670077,51.0483717],[-114.0669561,51.0481918],[-114.0669561,51.0481918]]}","{'type': 'Point', 'coordinates': [-114.06700773970654, 51.04837169936981]}",LABBE-LEECH INTERIORS
BP2016-13818,Completed,2016-11-07T00:00:00.000,2016-11-22T00:00:00.000,2018-09-04T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alterarion - Barrier Free Washrooms,F L C CONSULTING,0,35000,#110 639 5 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04863498761601,-114.07554787376552,4,Titled Parcel;Building;Building Suite;Building Suite,639 5 AV SW;639 5 AV SW;#110 639 5 AV SW;#120 639 5 AV SW,"MULTIPOINT (-114.07554787376552 51.04863498761601,-114.0755475261463 51.04846513590538,-114.0755475261463 51.04846513590538,-114.0755475261463 51.04846513590538)","{""type"":""MultiPoint"",""coordinates"":[[-114.0755479,51.048635],[-114.0755475,51.0484651],[-114.0755475,51.0484651],[-114.0755475,51.0484651]]}","{'type': 'Point', 'coordinates': [-114.07554787376552, 51.04863498761601]}",
BP2020-05219,Completed,2020-05-04T00:00:00.000,2020-05-14T00:00:00.000,2020-08-28T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Elevator Lobby / Washrooms,,0,183319,#1500 530 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.045959768204014,-114.07294617928993,3,Titled Parcel;Building;Building Suite,530 8 AV SW;530 8 AV SW;#1500 530 8 AV SW,"MULTIPOINT (-114.07294617928993 51.045959768204014,-114.07294882062489 51.04614330093464,-114.07294882062489 51.04614330093464)","{""type"":""MultiPoint"",""coordinates"":[[-114.0729462,51.0459598],[-114.0729488,51.0461433],[-114.0729488,51.0461433]]}","{'type': 'Point', 'coordinates': [-114.07294617928993, 51.045959768204014]}",SOUNDTEX INTERIORS
BP2022-15584,Completed,2022-09-12T00:00:00.000,2022-10-26T00:00:00.000,2023-06-14T00:00:00.000,Commercial / Multi Family Project,Building,"5112 - School, Sait",Institutional,Non-Residential,Addition,Improvement,Existing,Freight Elevator extension and upgrades,GGA - ARCHITECTURE,0,1225876.9,131 DR CARPENTER CI NW,HIL,HILLHURST,51.06666946663131,-114.08977833911267,2,Titled Parcel;Building,1301 16 AV NW;131 DR CARPENTER CI NW,"MULTIPOINT (-114.08977833911267 51.06666946663131,-114.08773538096438 51.064986886886075)","{""type"":""MultiPoint"",""coordinates"":[[-114.0897783,51.0666695],[-114.0877354,51.0649869]]}","{'type': 'Point', 'coordinates': [-114.08977833911267, 51.06666946663131]}",CHANDOS CONSTRUCTION
BP2021-11951,Completed,2021-07-06T00:00:00.000,2021-07-22T00:00:00.000,2022-01-21T00:00:00.000,Commercial / Multi Family Project,Building,"5114 - School, Other",Institutional,Non-Residential,Alteration,Improvement,Existing,St. Mary's Washroom Renovation - Barrier Free Washroom,,0,150000,111 18 AV SW,MIS,MISSION,51.03690318962485,-114.06429583684542,2,Titled Parcel;Building,111 18 AV SW;111 18 AV SW,"MULTIPOINT (-114.06429583684542 51.03690318962485,-114.06401757451158 51.036614322024754)","{""type"":""MultiPoint"",""coordinates"":[[-114.0642958,51.0369032],[-114.0640176,51.0366143]]}","{'type': 'Point', 'coordinates': [-114.06429583684542, 51.03690318962485]}",TRIBUILD CONTRACTING
BP2013-01362,Completed,2013-02-06T00:00:00.000,2013-05-27T00:00:00.000,2015-08-28T00:00:00.000,Commercial / Multi Family Project,Building,5115 - University Of Calgary,Institutional,Non-Residential,Addition,Improvement,Existing,Infrastructure & Elevator Modernization,ELLISDON CONSTRUCTION,0,3331615,2750 UNIVERSITY WY NW,UNI,UNIVERSITY HEIGHTS,51.07461616759664,-114.1283929098411,3,Titled Parcel;Building;Entryway,2500 UNIVERSITY DR NW;2750 UNIVERSITY WY NW;2750 UNIVERSITY WY NW,"MULTIPOINT (-114.1283929098411 51.07461616759664,-114.12655298158383 51.076716843889066,-114.12655298158383 51.076716843889066)","{""type"":""MultiPoint"",""coordinates"":[[-114.1283929,51.0746162],[-114.126553,51.0767168],[-114.126553,51.0767168]]}","{'type': 'Point', 'coordinates': [-114.1283929098411, 51.07461616759664]}",ELLISDON CONSTRUCTION
BP2017-08495,Completed,2017-07-06T00:00:00.000,2017-07-19T00:00:00.000,2018-02-09T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Elevator Lobby Finishes,ZEIDLER ARCHITECTURE,0,43400,324 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.045854224252224,-114.06910730167886,2,Titled Parcel;Building,324 8 AV SW;324 8 AV SW,"MULTIPOINT (-114.06910730167886 51.045854224252224,-114.06909649699809 51.04600146447996)","{""type"":""MultiPoint"",""coordinates"":[[-114.0691073,51.0458542],[-114.0690965,51.0460015]]}","{'type': 'Point', 'coordinates': [-114.06910730167886, 51.045854224252224]}",
BP2010-06001,Completed,2010-05-13T00:00:00.000,2010-06-07T00:00:00.000,2010-07-29T00:00:00.000,Commercial / Multi Family Project,Building,3801 - Service Clubs,Commercial,Non-Residential,Alteration,Improvement,Existing,Commercial Project (Renovation to handicap ramp ),CARSWELL CONSULTING ENGINEERS,0,35412.98,2140 BROWNSEA DR NW,WHL,WEST HILLHURST,51.0494481541582,-114.10951211272196,2,Titled Parcel;Building,2140 BROWNSEA DR NW;2140 BROWNSEA DR NW,"MULTIPOINT (-114.10951211272196 51.0494481541582,-114.10847970448538 51.049519380620694)","{""type"":""MultiPoint"",""coordinates"":[[-114.1095121,51.0494482],[-114.1084797,51.0495194]]}","{'type': 'Point', 'coordinates': [-114.10951211272196, 51.0494481541582]}",LEDCOR CONSTRUCTION
BP2014-02780,Completed,2014-03-06T00:00:00.000,2014-03-14T00:00:00.000,2014-04-14T00:00:00.000,Commercial / Multi Family Project,Building,2306 - Parking Garage,Industrial,Non-Residential,Alteration,Improvement,Existing,Barrier free ramp for parkade,BORNAIS ENTERPRISES,0,34000,500 CENTRE ST SE,DNC,DOWNTOWN COMMERCIAL CORE,51.047696253120044,-114.06267001656319,2,Titled Parcel;Building,500 CENTRE ST SE;500 CENTRE ST SE,"MULTIPOINT (-114.06267001656319 51.047696253120044,-114.06202026599931 51.04798844227194)","{""type"":""MultiPoint"",""coordinates"":[[-114.06267,51.0476963],[-114.0620203,51.0479884]]}","{'type': 'Point', 'coordinates': [-114.06267001656319, 51.047696253120044]}",
BP2020-05715,File Closed,2020-05-12T00:00:00.000,2020-05-25T00:00:00.000,2022-11-30T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alterations - 43rd & 44th Floors Elevator Lobby Finishes Upgrades,KASIAN ARCHITECTURE INTERIOR DESIGN AND PLANNING,0,150000,#4300 400 3 AV SW,EAU,EAU CLAIRE,51.05063314940996,-114.07059120365247,4,Titled Parcel;Building;Building Suite;Building Suite,400 3 AV SW;400 3 AV SW;#4300 400 3 AV SW;#4400 400 3 AV SW,"MULTIPOINT (-114.07059120365247 51.05063314940996,-114.07079297087886 51.051014407476096,-114.07079297087886 51.051014407476096,-114.07079297087886 51.051014407476096)","{""type"":""MultiPoint"",""coordinates"":[[-114.0705912,51.0506331],[-114.070793,51.0510144],[-114.070793,51.0510144],[-114.070793,51.0510144]]}","{'type': 'Point', 'coordinates': [-114.07059120365247, 51.05063314940996]}",
BP2022-01704,Completed,2022-02-03T00:00:00.000,2022-03-22T00:00:00.000,2023-01-18T00:00:00.000,Commercial / Multi Family Project,Building,2303 - Bridge (+15),Industrial,Non-Residential,Alteration,Improvement,Existing,Accessibility upgrades,GEC ARCHITECTURE,0,1000,#15+ 877 3 ST SW,UND,Undefined,51.04520489166433,-114.07045437798685,1,Structure,#15+ 877 3 ST SW,POINT (-114.07045437798685 51.04520489166433),"{""type"":""Point"",""coordinates"":[-114.0704544,51.0452049]}","{'type': 'Point', 'coordinates': [-114.07045437798685, 51.04520489166433]}",
BP2020-04093,Completed,2020-04-06T00:00:00.000,2020-05-28T00:00:00.000,2022-12-14T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Fire Alarm System Elevator Modification,CORBIELL ELECTRICAL,0,27000,1000 8 AV SW,DNW,DOWNTOWN WEST END,51.046277826111044,-114.08409148935725,2,Titled Parcel;Building,1000 8 AV SW;1000 8 AV SW,"MULTIPOINT (-114.08409148935725 51.046277826111044,-114.08408451410438 51.04641874518717)","{""type"":""MultiPoint"",""coordinates"":[[-114.0840915,51.0462778],[-114.0840845,51.0464187]]}","{'type': 'Point', 'coordinates': [-114.08409148935725, 51.046277826111044]}",
BP2016-00434,Completed,2016-01-19T00:00:00.000,2016-01-28T00:00:00.000,2016-03-04T00:00:00.000,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,Alteration,Improvement,Existing,Two New overhead doors c/w ramps.,KUMLIN SULLIVAN ARCHITECTURE STUDIO,0,296300,#11 6335 57 ST SE,STD,STARFIELD,50.996688594736156,-113.94699838384409,3,Titled Parcel;Building;Building Suite,6335 57 ST SE;6335 57 ST SE;#11 6335 57 ST SE,"MULTIPOINT (-113.94699838384409 50.996688594736156,-113.94793881762246 50.99665856908762,-113.9474447835731 50.99682331088513)","{""type"":""MultiPoint"",""coordinates"":[[-113.9469984,50.9966886],[-113.9479388,50.9966586],[-113.9474448,50.9968233]]}","{'type': 'Point', 'coordinates': [-113.94699838384409, 50.996688594736156]}",
BP2018-11933,Completed,2018-09-06T00:00:00.000,2018-09-11T00:00:00.000,2019-01-17T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alterations - 16th Floor Elevator Lobby Renovation,CHOICE CONTRACTING,0,88000,#1600 635 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04575186464155,-114.07583848527788,3,Titled Parcel;Building;Building Suite,635 8 AV SW;635 8 AV SW;#1600 635 8 AV SW,"MULTIPOINT (-114.07583848527788 51.04575186464155,-114.07585029040577 51.045627816642394,-114.07585029040577 51.045627816642394)","{""type"":""MultiPoint"",""coordinates"":[[-114.0758385,51.0457519],[-114.0758503,51.0456278],[-114.0758503,51.0456278]]}","{'type': 'Point', 'coordinates': [-114.07583848527788, 51.04575186464155]}",
BP2002-07934,Completed,2002-06-13T00:00:00.000,2002-07-04T00:00:00.000,2002-12-13T00:00:00.000,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,Addition,Improvement,Existing,Addition and Interior Alteration -Wheelchair lift,L'ARCHE ASSOCIATION OF CALGARY,0,70000,719 69 AV SW,KIN,KINGSLAND,50.99131696694286,-114.07752605414065,3,Titled Parcel;Building;Entryway,717 69 AV SW;717 69 AV SW;719 69 AV SW,"MULTIPOINT (-114.07752605414065 50.99131696694286,-114.0775724130588 50.991210748447415,-114.0775724130588 50.991210748447415)","{""type"":""MultiPoint"",""coordinates"":[[-114.0775261,50.991317],[-114.0775724,50.9912107],[-114.0775724,50.9912107]]}","{'type': 'Point', 'coordinates': [-114.07752605414065, 50.99131696694286]}",
BP2017-15835,Completed,2017-12-04T00:00:00.000,2017-12-12T00:00:00.000,2018-06-12T00:00:00.000,Commercial / Multi Family Project,Building,2306 - Parking Garage,Industrial,Non-Residential,Alteration,Improvement,Existing,Parkade and Ramp Repairs,C C D WESTERN,0,20582.25,700 4 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.049859051161256,-114.07648131538893,2,Titled Parcel;Building,700 4 AV SW;700 4 AV SW,"MULTIPOINT (-114.07648131538893 51.049859051161256,-114.07648743295474 51.05000569656932)","{""type"":""MultiPoint"",""coordinates"":[[-114.0764813,51.0498591],[-114.0764874,51.0500057]]}","{'type': 'Point', 'coordinates': [-114.07648131538893, 51.049859051161256]}",
BP2015-14758,Completed,2015-11-10T00:00:00.000,2015-12-08T00:00:00.000,2016-08-04T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alteration - ATS- Ramp Offices G & H,RIDDELL KURCZABA ARCHITECTURE,0,300000,#4801DA 2016A AIRPORT RD NE,CIA,CALGARY INTERNATIONAL AIRPORT,51.13440933289924,-114.00193422649242,5,Titled Parcel;Building;Building Suite;Building Suite;Entryway,8925 BARLOW TR NE;2016 AIRPORT RD NE;#5001DA 2016A AIRPORT RD NE;#4801DA 2016A AIRPORT RD NE;2016A AIRPORT RD NE,"MULTIPOINT (-114.00193422649242 51.13440933289924,-114.00468148150777 51.130448420589616,-113.99770163894821 51.13007129704156,-113.99800607812773 51.130076489627854,-114.00457632539258 51.130988951425365)","{""type"":""MultiPoint"",""coordinates"":[[-114.0019342,51.1344093],[-114.0046815,51.1304484],[-113.9977016,51.1300713],[-113.9980061,51.1300765],[-114.0045763,51.130989]]}","{'type': 'Point', 'coordinates': [-114.00193422649242, 51.13440933289924]}",
BP2023-03363,Completed,2023-03-17T00:00:00.000,2023-05-06T00:00:00.000,2023-08-17T00:00:00.000,Commercial / Multi Family Project,Building,4002 - Vacant,General,Non-Residential,Fire/ Security Alarm,Unspecified,,Sam Livingston Fish Hatchery & Rearing Station Elevator Modernization - Fire Alarm Upgrade,,0,39211.3,1440 17A ST SE,ING,INGLEWOOD,51.039789963510394,-114.01761745798134,2,Titled Parcel;Building,1440 17A ST SE;1440 17A ST SE,"MULTIPOINT (-114.01761745798134 51.039789963510394,-114.01768706494836 51.04250808139317)","{""type"":""MultiPoint"",""coordinates"":[[-114.0176175,51.03979],[-114.0176871,51.0425081]]}","{'type': 'Point', 'coordinates': [-114.01761745798134, 51.039789963510394]}",LEAR CONSTRUCTION MANAGEMENT
BP2010-12968,Completed,2010-10-07T00:00:00.000,2010-11-01T00:00:00.000,2012-04-09T00:00:00.000,Commercial / Multi Family Project,Building,5401 - Church,Institutional,Non-Residential,Alteration,Improvement,Existing,Lift Installation,DIALOG,0,50000,1204 RENFREW DR NE,REN,RENFREW,51.062652844082116,-114.03348714862193,3,Titled Parcel;Building;Entryway,1208 RENFREW DR NE;1208 RENFREW DR NE;1204 RENFREW DR NE,"MULTIPOINT (-114.03348714862193 51.062652844082116,-114.03323632602087 51.062718954043824,-114.03323632602087 51.062718954043824)","{""type"":""MultiPoint"",""coordinates"":[[-114.0334871,51.0626528],[-114.0332363,51.062719],[-114.0332363,51.062719]]}","{'type': 'Point', 'coordinates': [-114.03348714862193, 51.062652844082116]}",L C P CONTRACTING & RENOVATIONS
BP2022-03280,Completed,2022-03-04T00:00:00.000,2022-04-04T00:00:00.000,2022-11-04T00:00:00.000,Commercial / Multi Family Project,Building,3499 - Office/Bank/Professional Misc.,Commercial,Non-Residential,Alteration,Improvement,Existing,"D, bsmt storage garage, building elevator",MAK INTERIOR DESIGN,0,500000,#200 628 11 AV SW,BLN,BELTLINE,51.04284205714095,-114.07563188333808,3,Titled Parcel;Building;Building Suite,628 11 AV SW;628 11 AV SW;#200 628 11 AV SW,"MULTIPOINT (-114.07563188333808 51.04284205714095,-114.07562045143902 51.04300258529033,-114.07562045143902 51.04300258529033)","{""type"":""MultiPoint"",""coordinates"":[[-114.0756319,51.0428421],[-114.0756205,51.0430026],[-114.0756205,51.0430026]]}","{'type': 'Point', 'coordinates': [-114.07563188333808, 51.04284205714095]}",
BP2016-06186,Completed,2016-06-06T00:00:00.000,2016-06-17T00:00:00.000,2016-10-19T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Add new barrier free washroom / existing tenant,XEMEX CONTRACTING,0,30000,#300 801 6 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04777101496932,-114.07934185519407,3,Titled Parcel;Building;Building Suite,801 6 AV SW;801 6 AV SW;#300 801 6 AV SW,"MULTIPOINT (-114.07934185519407 51.04777101496932,-114.0793926585556 51.04761465805238,-114.0793926585556 51.04761465805238)","{""type"":""MultiPoint"",""coordinates"":[[-114.0793419,51.047771],[-114.0793927,51.0476147],[-114.0793927,51.0476147]]}","{'type': 'Point', 'coordinates': [-114.07934185519407, 51.04777101496932]}",
BP2017-00848,Completed,2017-01-31T00:00:00.000,2017-02-15T00:00:00.000,2017-06-07T00:00:00.000,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alteration - New demising wall & new barrier free washroom,RED DOOR RENOVATIONS & DESIGN,0,12000,#10 15425 BANNISTER RD SE,MID,MIDNAPORE,50.914620873272774,-114.06600524602925,4,Titled Parcel;Building;Building Suite;Building Suite,15425 BANNISTER RD SE;15425 BANNISTER RD SE;#12 15425 BANNISTER RD SE;#10 15425 BANNISTER RD SE,"MULTIPOINT (-114.06600524602925 50.914620873272774,-114.06680268318499 50.9148919967323,-114.06687427519633 50.91487490184464,-114.06696056549166 50.91485357321545)","{""type"":""MultiPoint"",""coordinates"":[[-114.0660052,50.9146209],[-114.0668027,50.914892],[-114.0668743,50.9148749],[-114.0669606,50.9148536]]}","{'type': 'Point', 'coordinates': [-114.06600524602925, 50.914620873272774]}",
