point,permitnum,address,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabhearingdate,sdabnumber,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-113.95216650007431, 50.992638595593014]}",DP2015-0842,#121 5555 69 AV SE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (ENLARGING OVERHEAD DOORS); CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (ADDING LOADING RAMPS),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Cancelled,2015-03-05T00:00:00.000,,,,,,GPI,GREAT PLAINS,9,SE,50.992638595593014,-113.95216650007431,3,Titled Parcel;Building;Building Suite,5555 69 AV SE;5555 69 AV SE;#121 5555 69 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9521665,50.9926386],[-113.9526729,50.9918979],[-113.9526729,50.9918979]]}","MULTIPOINT (-113.95216650007431 50.992638595593014,-113.95267288171365 50.99189794218558,-113.95267288171365 50.99189794218558)",2015-03-27T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.98007303375756, 51.10973565694824]}",DP2014-2311,#152 3670 63 AV NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: WAREHOUSE AND OFFICE (NEW LOADING BAY RAMPS),C9999,OTHER,Discretionary,I-B f0.5,Industrial - Business,Released,2014-05-20T00:00:00.000,2014-07-30T00:00:00.000,2014-09-12T00:00:00.000,2016-07-30T00:00:00.000,Approval,Development Authority,WES,WESTWINDS,3,NE,51.10973565694824,-113.98007303375756,4,Titled Parcel;Building;Building Suite;Building Suite,3670 63 AV NE;3670 63 AV NE;#156 3670 63 AV NE;#152 3670 63 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.980073,51.1097357],[-113.9795967,51.1100778],[-113.9793212,51.1105072],[-113.9793309,51.1104468]]}","MULTIPOINT (-113.98007303375756 51.10973565694824,-113.97959668148994 51.110077756170725,-113.97932124310158 51.11050718744599,-113.97933086676942 51.110446814782286)",,,,,
"{'type': 'Point', 'coordinates': [-114.08599985278194, 51.03771273987303]}",DP1998-1071,1029 17 AV SW,,"CONVERTED JOB - EXTERIOR RENOVATIONS TO EXISTING BUILDING, REVISED LANDSCAPING & NEW RAMP",B5150,FINANCIAL INSTITUTION,Discretionary,C-3(23),GENERAL COMMERICAL DISTRICT - HEIGHT MAXIMUM 23 METRES,Released,1998-04-02T00:00:00.000,1998-04-23T00:00:00.000,,2000-04-23T00:00:00.000,Approval,Development Authority,LMR,MOUNT ROYAL LOWER,8,SW,51.03771273987302,-114.08599985278194,1,Titled Parcel,1029 17 AV SW,"{""type"":""Point"",""coordinates"":[-114.0859999,51.0377127]}",POINT (-114.08599985278194 51.03771273987302),1998-05-20T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.08474581025636, 51.04794645897017]}",DP1998-1740,1011 6 AV SW,,CONVERTED JOB - ADDITION OF AN ELEVATOR SHAFT,B6700,OFFICES,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,1998-05-21T00:00:00.000,1998-05-27T00:00:00.000,,1999-05-27T00:00:00.000,Approval,Development Authority,DNW,DOWNTOWN WEST END,8,SW,51.04794645897017,-114.08474581025636,1,Titled Parcel,1011 6 AV SW,"{""type"":""Point"",""coordinates"":[-114.0847458,51.0479465]}",POINT (-114.08474581025636 51.04794645897017),1998-06-19T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.0636056422883, 50.9099710802615]}",DP2016-1198,280 MIDPARK WY SE,Industrial - Other Areas,"EXTERIOR RENOVATIONS: OFFICE (NEW ELEVATOR VESTIBULE, NEW ENTRY CANOPIES - 3, NEW ACCESS DOOR); ADDITION: OFFICE (MEZZANINE ADDITION - 2ND FLOOR); CHANGES TO SITE PLAN: OFFICE (LANDSCAPING)",C2110,OFFICE,Discretionary,I-B f3.0,Industrial - Business,Released,2016-03-31T00:00:00.000,2016-05-02T00:00:00.000,2016-06-23T00:00:00.000,2018-04-02T00:00:00.000,Approval,Development Authority,MID,MIDNAPORE,14,SE,50.9099710802615,-114.0636056422883,2,Titled Parcel;Building,280 MIDPARK WY SE;280 MIDPARK WY SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0636056,50.9099711],[-114.0641771,50.9102415]]}","MULTIPOINT (-114.0636056422883 50.9099710802615,-114.0641771226497 50.91024153562822)",,,,,
"{'type': 'Point', 'coordinates': [-114.0592365264218, 51.00121517609304]}",DP2016-5068,303 58 AV SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (PARKING STALLS REMOVED, FENCING, GARBAGE ENCLOSURE, ACCESS RAMP)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2016-12-09T00:00:00.000,2017-02-16T00:00:00.000,2017-03-13T00:00:00.000,2019-02-16T00:00:00.000,Approval,Development Authority,MNI,MANCHESTER INDUSTRIAL,9,SE,51.00121517609304,-114.0592365264218,2,Titled Parcel;Building,303 58 AV SE;303 58 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0592365,51.0012152],[-114.0593436,51.0001476]]}","MULTIPOINT (-114.0592365264218 51.00121517609304,-114.05934361486727 51.00014760072111)",,,,,
"{'type': 'Point', 'coordinates': [-114.05395258099429, 50.997740101783144]}",DP2012-2209,#1 6143 4 ST SE,Change of Use - With Change to Site Plan,CHANGE OF USE: CHILD CARE SERVICE (110 CHILDREN) WITH CHANGES TO SITE PLAN (OUTDOOR PLAY AREA & ACCESS RAMP),C1310,CHILD CARE SERVICE,Discretionary,I-G,Industrial - General,Revoked,2012-05-30T00:00:00.000,2012-06-27T00:00:00.000,2012-07-23T00:00:00.000,2014-06-27T00:00:00.000,Approval,Development Authority,MNI,MANCHESTER INDUSTRIAL,9,SE,50.997740101783144,-114.05395258099428,4,Titled Parcel;Building Suite;Building Suite;Building Suite,6115 4 ST SE;#2 6143 4 ST SE;#3 6143 4 ST SE;#1 6143 4 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0539526,50.9977401],[-114.0544146,50.9971305],[-114.0543378,50.9974712],[-114.0544586,50.9976008]]}","MULTIPOINT (-114.05395258099428 50.997740101783144,-114.05441462793819 50.997130477477974,-114.054337826672 50.997471244896204,-114.05445860040838 50.997600839660436)",,,,,
"{'type': 'Point', 'coordinates': [-114.05434494124604, 51.02132798282849]}",DP2011-1975,437 36 AV SE,Change of Use - With Change to Site Plan,"CHANGE OF USE: CAR WASH - MULTI-VEHICLE,  GENERAL INDUSTRIAL - LIGHT; REVISION: EXTERIOR RENOVATIONS (NEW SIDING, LOADING RAMP,  WHEELCHAIR RAMP, LANDSCAPING,  WINDOWS, AND GARBAGE ENCLOSURE); SIGN - CLASS A: DIRECTIONAL SIGN,  SIGN - CLASS B: FASCIA IDENTIFICATION SIGNS (3)",C1270; C1572; C1685; C2670; C2680,CAR WASH - MULTI-VEHICLE; EXTERIOR RENOVATIONS; GENERAL INDUSTRIAL - LIGHT; SIGN - CLASS A; SIGN - CLASS B,Permitted with a Relaxation,I-G,Industrial - General,Released,2011-06-01T00:00:00.000,2011-07-26T00:00:00.000,2012-01-12T00:00:00.000,2013-07-26T00:00:00.000,Approval,Development Authority,MNI,MANCHESTER INDUSTRIAL,9,SE,51.02132798282849,-114.05434494124604,2,Titled Parcel;Building,437 36 AV SE;437 36 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0543449,51.021328],[-114.0545616,51.0209529]]}","MULTIPOINT (-114.05434494124604 51.02132798282849,-114.05456158096933 51.02095287360798)",,,,,
"{'type': 'Point', 'coordinates': [-113.98964236301113, 51.0469112869822]}",DP1992-3059,2936 RADCLIFFE DR SE,,CONVERTED JOB - SPECIAL CARE FACILITY FOR MENTALLY & PHYSICALLY HANDICAPPED,B7490,PRIVATE ORGANIZATION,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,1992-12-03T00:00:00.000,1993-01-07T00:00:00.000,,1994-01-07T00:00:00.000,Approval,Development Authority,ALB,ALBERT PARK/RADISSON HEIGHTS,9,SE,51.046911286982194,-113.98964236301113,1,Titled Parcel,2936 RADCLIFFE DR SE,"{""type"":""Point"",""coordinates"":[-113.9896424,51.0469113]}",POINT (-113.98964236301113 51.046911286982194),1993-01-29T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.21065256870692, 51.06025268751278]}",DP2013-2645,882 85 ST SW,Change of Use - With Change to Site Plan,"REVISION: SUPERMARKET (EXTERIOR ALTERATIONS, NEW STAIRS AND RAMP, LANDSCAPING CHANGES)",C2820,SUPERMARKET,Discretionary,C-C1,Commercial - Community 1,Released,2013-06-27T00:00:00.000,2013-08-01T00:00:00.000,2013-08-26T00:00:00.000,2015-08-01T00:00:00.000,Approval,Development Authority,WSP,WEST SPRINGS,6,SW,51.06025268751278,-114.21065256870692,1,Titled Parcel,882 85 ST SW,"{""type"":""Point"",""coordinates"":[-114.2106526,51.0602527]}",POINT (-114.21065256870692 51.06025268751278),,,,,
"{'type': 'Point', 'coordinates': [-114.07283245913703, 51.14214386102296]}",DP2015-1914,70 COUNTRY HILLS LD NW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: OFFICES (PARKING, LANDSCAPING CHANGES & REVISION TO RAMP)",B6700,OFFICES,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2015-05-08T00:00:00.000,2015-06-18T00:00:00.000,2016-03-14T00:00:00.000,2018-06-18T00:00:00.000,Approval,Development Authority,COU,COUNTRY HILLS,3,NW,51.14214386102296,-114.07283245913703,1,Titled Parcel,70 COUNTRY HILLS LD NW,"{""type"":""Point"",""coordinates"":[-114.0728325,51.1421439]}",POINT (-114.07283245913703 51.14214386102296),,,,,
"{'type': 'Point', 'coordinates': [-114.08294058635981, 50.97916349732519]}",DP2009-0300,8408 ELBOW DR SW,Renovations - Non-Residential,REVISION: EXTERIOR RENOVATIONS (HANDICAP RAMP),C1572,EXTERIOR RENOVATIONS,Discretionary,C-N2,Commercial - Neighbourhood 2,Released,2009-02-02T00:00:00.000,2009-02-25T00:00:00.000,2009-03-24T00:00:00.000,2011-02-25T00:00:00.000,Approval,Development Authority,HAY,HAYSBORO,11,SW,50.97916349732519,-114.08294058635981,2,Titled Parcel;Building,8408 ELBOW DR SW;8408 ELBOW DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0829406,50.9791635],[-114.0825927,50.9792481]]}","MULTIPOINT (-114.08294058635981 50.97916349732519,-114.08259269780696 50.979248131394236)",,,,,
"{'type': 'Point', 'coordinates': [-113.99451254436829, 50.9566407161034]}",DP2007-3029,2875 107 AV SE,Change of Use - Discretionary Use or Relaxations Required,"ADDITION OF 7.5 FT RETAINING WALL (REVISION TO LANDSCAPING), REMOVAL OF HANDICAP PARKING STALL, REMOVAL OF PATIO FURNITURE, REMOVAL OF GRASSED AREA",B6605,MOTION PICTURE PRODUCTION FACILITIES,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2007-08-22T00:00:00.000,2008-02-21T00:00:00.000,2008-10-22T00:00:00.000,2011-02-21T00:00:00.000,Approval,Development Authority,SHI,SHEPARD INDUSTRIAL,12,SE,50.9566407161034,-113.99451254436829,1,Titled Parcel,2875 107 AV SE,"{""type"":""Point"",""coordinates"":[-113.9945125,50.9566407]}",POINT (-113.99451254436829 50.9566407161034),,,,,
"{'type': 'Point', 'coordinates': [-113.98617101914499, 51.05893791518243]}",DP2016-5018,#1 727 33 ST NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: AUTO BODY AND PAINT SHOP (NEW ASHPHALT RAMP); EXTERIOR RENOVATIONS: AUTO BODY AND PAINT SHOP (NEW OVERHEAD DOOR); CHANGE OF USE: AUTO BODY AND PAINT SHOP,C1140,AUTO BODY AND PAINT SHOP,Discretionary,I-C,Industrial - Commercial,Released,2016-12-07T00:00:00.000,2017-01-05T00:00:00.000,2017-02-09T00:00:00.000,2019-01-05T00:00:00.000,Approval,Development Authority,FRA,FRANKLIN,10,NE,51.05893791518243,-113.98617101914499,3,Titled Parcel;Building;Building Suite,727 33 ST NE;727 33 ST NE;#1 727 33 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.986171,51.0589379],[-113.9867088,51.0585954],[-113.9867088,51.0585954]]}","MULTIPOINT (-113.98617101914499 51.05893791518243,-113.98670879322562 51.058595397645675,-113.98670879322562 51.058595397645675)",,,,,
"{'type': 'Point', 'coordinates': [-114.07574775308667, 50.971428578092834]}",DP2014-4441,9304 HORTON RD SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: LARGE VEHICLE SERVICE (GARBAGE ENCLOSURE, AMENITY SPACE, WHEELCHAIR RAMP, LOADING RAMP, LANDSCAPING, ACCESSORY BUILDING), EXTERIOR RENOVATIONS: LARGE VEHICLE SERVICE (NEW OVERHEAD DOORS - EAST ELEVATION, REFURBISH BUILDING FACADE)",C1870; C1880,LARGE VEHICLE AND EQUIPMENT SALES; LARGE VEHICLE SERVICE,Discretionary,I-G,Industrial - General,Released,2014-09-12T00:00:00.000,2014-11-21T00:00:00.000,2015-02-27T00:00:00.000,2016-11-21T00:00:00.000,Approval,Development Authority,HAY,HAYSBORO,11,SW,50.971428578092834,-114.07574775308667,2,Titled Parcel;Building,9304 HORTON RD SW;9304 HORTON RD SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0757478,50.9714286],[-114.0751714,50.9712678]]}","MULTIPOINT (-114.07574775308667 50.971428578092834,-114.07517136027357 50.97126781639066)",,,,,
"{'type': 'Point', 'coordinates': [-114.0648522230948, 51.044513830223465]}",DP2013-2371,133 9 AV SW,Change of Use - With Change to Site Plan,REVISION: EXTERIOR RENOVATIONS (WHEELCHAIR LIFT),B5027,EXTERIOR RENOVATIONS,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2013-06-06T00:00:00.000,2013-07-23T00:00:00.000,2013-10-18T00:00:00.000,2016-07-23T00:00:00.000,Approval,Development Authority,DNC,DOWNTOWN COMMERCIAL CORE,7,SW,51.044513830223465,-114.0648522230948,2,Titled Parcel;Building,133 9 AV SW;133 9 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0648522,51.0445138],[-114.064946,51.0442982]]}","MULTIPOINT (-114.0648522230948 51.044513830223465,-114.06494604122074 51.044298150351565)",,,,,
"{'type': 'Point', 'coordinates': [-113.95505298512657, 50.99264848880114]}",DP2013-3502,7007 54 ST SE,Renovations - Non-Residential,REVISION: EXTERIOR RENOVATIONS (OVERHEAD DOOR & RAMP),C1572,EXTERIOR RENOVATIONS,Discretionary,C-N2,Commercial - Neighbourhood 2,Released,2013-08-21T00:00:00.000,2013-09-27T00:00:00.000,2013-10-21T00:00:00.000,2015-09-27T00:00:00.000,Approval,Development Authority,GPI,GREAT PLAINS,9,SE,50.99264848880114,-113.95505298512657,1,Titled Parcel,7007 54 ST SE,"{""type"":""Point"",""coordinates"":[-113.955053,50.9926485]}",POINT (-113.95505298512657 50.99264848880114),,,,,
"{'type': 'Point', 'coordinates': [-114.06072316744859, 51.03967394164843]}",DP2017-0158,#100 1320 1 ST SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: PERSONAL SERVICE BUSINESS (NEW DOORS, WINDOWS, RAMP, DECORATIVE FEATURES)",B7115,PERSONAL SERVICE BUSINESS/ESTABLISHMENT,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2017-01-16T00:00:00.000,2017-03-29T00:00:00.000,2017-04-26T00:00:00.000,2020-03-29T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,11,SE,51.03967394164843,-114.06072316744859,3,Titled Parcel;Building;Building Suite,1320 1 ST SE;1320 1 ST SE;#100 1320 1 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0607232,51.0396739],[-114.060664,51.0396647],[-114.0603027,51.039904]]}","MULTIPOINT (-114.06072316744859 51.03967394164843,-114.06066399444511 51.03966467698409,-114.06030272357414 51.03990402703295)",,,,,
"{'type': 'Point', 'coordinates': [-114.05905337012219, 51.04553822759033]}",DP2008-2401,200 8 AV SE,Commercial - Downtown,ADDITION: RESTAURANT-LICENSED (ENCLOSED PATIO & COVERED RAMP),B7850,RESTAURANT / DRINKING ESTABLISHMENT,Discretionary,CM-2,DOWNTOWN BUSINESS DISTRICT,Released,2008-07-28T00:00:00.000,2008-09-19T00:00:00.000,2008-10-16T00:00:00.000,2012-09-19T00:00:00.000,Approval,Development Authority,DNC,DOWNTOWN COMMERCIAL CORE,7,SE,51.04553822759033,-114.05905337012219,2,Titled Parcel;Titled Parcel,222 8 AV SE;200 8 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0590534,51.0455382],[-114.0602589,51.0455855]]}","MULTIPOINT (-114.05905337012219 51.04553822759033,-114.06025890335746 51.04558554553514)",,,,,
"{'type': 'Point', 'coordinates': [-113.97754649417755, 51.10212651288309]}",DP2003-2519,3901 54 AV NE,,"ADDITION TO WAREHOUSE/OFFICE - SECOND FLOOR, REVISIONS TO ELEVATIONS AND SIGNAGE AND ADDITION OF HANDICAPPED PARKING STALL.",B6700,OFFICES,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2003-08-13T00:00:00.000,2003-09-09T00:00:00.000,2003-10-03T00:00:00.000,2006-09-06T00:00:00.000,Approval,Development Authority,WES,WESTWINDS,3,NE,51.10212651288308,-113.97754649417755,2,Titled Parcel;Building,3901 54 AV NE;3901 54 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9775465,51.1021265],[-113.9775771,51.101717]]}","MULTIPOINT (-113.97754649417755 51.10212651288308,-113.97757706216588 51.10171703144118)",,,,,
"{'type': 'Point', 'coordinates': [-114.06783520034745, 51.066730790194654]}",DP2015-0118,309 16 AV NW,Commercial - Other Areas,"REVISION: OFFICE, RETAIL AND CONSUMER SERVICE (RAMP WEST SIDE,WINDOW ON WEST ELEVATION, GARBAGE ENCLOSURE REBAR, SHRUB LOCATION)",C2110; C2515,OFFICE; RETAIL AND CONSUMER SERVICE,Discretionary,C-COR1 f4.0h24; C-COR1 f4.5h28,Commercial - Corridor 1; Commercial - Corridor 1,Released,2015-01-13T00:00:00.000,2015-02-13T00:00:00.000,2015-03-06T00:00:00.000,2017-02-13T00:00:00.000,Approval,Development Authority,CRE,CRESCENT HEIGHTS,7,NW,51.066730790194654,-114.06783520034745,2,Titled Parcel;Building,309 16 AV NW;309 16 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0678352,51.0667308],[-114.0678102,51.0666702]]}","MULTIPOINT (-114.06783520034745 51.066730790194654,-114.06781021522156 51.06667019613063)",,,,,
"{'type': 'Point', 'coordinates': [-114.0320229632176, 50.94115070087396]}",DP2016-4332,1418 LAKE ONTARIO RD SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (NEW HANDICAP ACCESS RAMP),C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-SPR,"Special Purpose - School, Park and Community Reserve",Released,2016-10-21T00:00:00.000,2016-11-15T00:00:00.000,2016-12-21T00:00:00.000,2018-11-15T00:00:00.000,Approval,Development Authority,BDO,BONAVISTA DOWNS,14,SE,50.94115070087396,-114.0320229632176,2,Titled Parcel;Building,1418 LAKE ONTARIO RD SE;1418 LAKE ONTARIO RD SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.032023,50.9411507],[-114.0319149,50.9418889]]}","MULTIPOINT (-114.0320229632176 50.94115070087396,-114.0319148592582 50.9418889175532)",,,,,
"{'type': 'Point', 'coordinates': [-114.07199406406677, 51.00218591330281]}",DP2010-4620,5809 MACLEOD TR SW,Commercial - Other Areas,"ADDITION: ELEVATOR, RETAINING WALL; REVISION: CHANGES TO PARKING CONFIGURATION",C9999,OTHER,Discretionary,C-COR3 f3.0h46,Commercial - Corridor 3,Released,2010-11-26T00:00:00.000,2011-01-24T00:00:00.000,2011-03-24T00:00:00.000,2013-01-24T00:00:00.000,Approval,Development Authority,WND,WINDSOR PARK,11,SW,51.00218591330281,-114.07199406406677,2,Titled Parcel;Building,5809 MACLEOD TR SW;5809 MACLEOD TR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0719941,51.0021859],[-114.0725487,51.0019473]]}","MULTIPOINT (-114.07199406406677 51.00218591330281,-114.07254874924614 51.001947313523125)",,,,,
"{'type': 'Point', 'coordinates': [-114.04806935079169, 50.999617727938265]}",DP2010-0766,6204 6A ST SE,Change of Use - With Change to Site Plan,"CHANGE OF USE: GENERAL INDUSTRIAL LIGHT; REVISION: EXTERIOR RENOVATIONS (ADDING OVERHEAD DOOR, ACCESS RAMP AND NEW DOUBLE DOOR)",C1572; C1685,EXTERIOR RENOVATIONS; GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2010-03-02T00:00:00.000,2010-04-06T00:00:00.000,2010-04-09T00:00:00.000,2012-04-06T00:00:00.000,Approval,Development Authority,BUR,BURNS INDUSTRIAL,9,SE,50.999617727938265,-114.04806935079169,1,Titled Parcel,6204 6A ST SE,"{""type"":""Point"",""coordinates"":[-114.0480694,50.9996177]}",POINT (-114.04806935079169 50.999617727938265),,,,,
